,Step,Value_train,Value_val
0,63,0.4001550376415252,-0.2743798494338989
1,127,-0.1000211834907531,-0.8259689211845398
2,191,0.0059561729431152,-0.581487238407135
3,255,-0.2774944901466369,-0.7675482630729675
4,319,-0.0115496795624494,-0.6718031764030457
5,383,-0.28401979804039,-1.0315130949020386
6,447,-0.2020606696605682,-1.1656438112258911
7,511,-0.3598174750804901,0.1339034736156463
8,575,-0.6291073560714722,-0.0239474829286336
9,639,-0.7097761631011963,-0.3148702979087829
10,703,-0.3380723595619201,-0.8848329186439514
11,767,-0.5628985166549683,-0.068266749382019
12,831,-0.6419280171394348,-1.3832719326019287
13,895,-0.6057100892066956,-0.5130677223205566
14,959,-0.2714473903179168,-0.2013857662677765
15,1023,-0.5419549345970154,-1.106928467750549
16,1087,-0.5420327186584473,-0.1218699216842651
17,1151,-0.616532564163208,-0.7844896912574768
18,1215,-0.6491589546203613,-0.2282028794288635
19,1279,-0.1529693752527237,-0.8895760774612427
20,1343,-0.9082491993904114,-0.3133041858673095
21,1407,-0.8237264752388,-1.019698977470398
22,1471,-0.7044299840927124,-0.5864323377609253
