Wall time,Step,Value
1683056685.111729,127,-0.01498862262815237
1683056689.740491,255,-0.23905876278877258
1683056694.535407,383,0.09404787421226501
1683056698.8704908,511,-0.334136962890625
1683056703.208009,639,-0.4689646065235138
1683056707.717875,767,-0.554394543170929
1683056712.1903412,895,-0.5799635052680969
1683056716.7145758,1023,-0.21076565980911255
1683056721.046038,1151,-0.2820819318294525
1683056725.408726,1279,-0.6003289222717285
1683056730.12178,1407,-0.5232658386230469
1683056734.681918,1535,-0.6975021362304688
1683056739.033366,1663,-0.6600356101989746
1683056743.422675,1791,-0.5717839002609253
1683056748.0545359,1919,-0.736766517162323
1683056752.617962,2047,-0.8960396647453308
1683056756.990508,2175,-0.7637170553207397
